relabel_no,complaint_id,date_received,narrative,my_product,my_issue,confidence,notes
1,17303911,17-11-2025,"Hello, I purchased resin statues from an individual named XXXX XXXX, who is an employee of the company XXXX XXXX XXXX. We used PayPal for each purchase of goods and services. Some of the statues were delivered, but most were not, and no tracking has been provided. Shortly after, the seller in question asked me to claim my refunds through PayPal using the XXXX protection. I submitted the claims, with the evidence to PayPal, but without escalating the case, they closed the case in the seller 's favor. I've been going back and forth for months now with the employee XXXX XXXX about my different refunds, without any progress. I then called PayPal to try to get an explanation and find a solution. They refunded me XXXX of the cases due to the seller not providing any tracking number. Since that paypal said that it made an exception with the refund, and they are currently working with the seller. They are saying that they are currently working with the seller to get my money back. Every time I call, they said an answer will be given in XXXX days, but it has been months already. Besides PayPal, a payment was made through XXXX and PayPal friends and family for the amount of XXXX, XXXX has been refunded XXXX is still owed. In late XXXX, I received a message from the actual website, XXXX custom studio, stating that the agent I was dealing with is no longer working for them. Then the company explained that they are taking FULL responsibility for everything that happened ( PayPal + XXXX payment ), and that they will refund everything. They are also claiming that their employee made the deal without them being aware, and that not all the deals are in the system. However, when I log in to my account, I can see all the purchases I've made through him. They said that they will talk to PayPal for a possible refund and reopen all the cases, and if no progress, they will directly send me the money on PayPal after XXXX to XXXX weeks. As of today, XX/XX/year>, I'm being ghosted and have no answer. Note that PayPal said that the seller has full possession of the money, but the seller claimed PayPal held their money. So I'm stuck in a position where MY money is being held and not returned to me, and the items I bought from them are not delivered : I include below the conversation with the agent, XXXX custom studio, and the PayPal cases. So there is : XXXX + XXXX + XXXX + XXXX from PayPal and XXXX from XXXX","Money transfer, virtual currency, or money service",Fraud or scam,3,
2,14186887,21-06-2025,"Unauthorized accounts have appeared on my credit report, and I can confirm that I had no part in opening or authorizing them. I strongly suspect identity theft, and I request that these accounts be deleted from my file immediately. In compliance with 15 U.S. Code 1681g, I request their removal within 15 days. Supporting documentation is included to assist with the resolution.",Credit reporting or other personal consumer reports,Incorrect information on your report,3,Identity theft leading to fraudulent accounts.
3,9743158,08-08-2024,"XXXX XXXX XXXX reported the late payment on XXXX, XXXX, XX/XX/year> to all XXXX credit bureaus for all three loans ( Loan # XXXX, XXXX and XXXX ), while those three months were the review period of mortgage assistance application.",Mortgage,Incorrect information on your report,3,
4,11745965,25-01-2025,Experian and XXXX refuses to delete the following accounts. XXXX XXXX XXXX charge off XXXXXXXX XXXX Its to my under that CFPB has sued these two companies for this same reason they are doing to me. I have provided proof that these accounts do not belong to me and they refuse to delete. These accounts above on my credit report. It Is hurting my financial well being and my life.,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,2,Refusal to delete after proof provided.
5,9157413,01-06-2024,"Company is unable to provide the credit due to its own liability. requesting the credit applied company has shown reason of why not offer business credit to a new business. student loans are an private loan not to be applied but XXXX is reporting false and misleading information damaging the business profile with detrimental details. according 12 U.S. Code 1431 - Powers and duties of banks Default is issued to the lender not the borrower The borrower is whom who gives debt. Amex intends to steal data filing or intellectual information and not provide services of commerce. Denial of Federal credits not owned by its own company but the U.S is a violation of the gold clause and deprivation of rights under color of law title 18 U.S. Code 242 - Deprivation of rights under color of law PROVIDE THE ORIGINAL CONTRACT BY MAIL. IF NOT FILING TO ISSUE BONDS, NOTES, AND OR CASH OF THE FOLLOWING SECURITIES ISSUED",Credit reporting or other personal consumer reports,Incorrect information on your report,1,Narrative is unusual but centers on false credit reporting.
6,16878951,28-10-2025,"The creditor or furnisher is reporting a negative account with inaccurate or incomplete information. I have reviewed my credit report and found errors in the balance, payment history, and/or account status. Under the Fair Credit Reporting Act ( FCRA ) Section 623, furnishers must report accurate and verifiable information. I have requested verification and supporting documentation from the creditor, but they failed to provide proof of accuracy. Please investigate this matter and ensure the information is corrected or deleted if unverified. XXXXXXXX XXXX XXXX ( Original Creditor : XXXX XXXX XXXX ) # XXXX XX/XX/year> -- {$440.00} XXXX XXXX ( Original Creditor : XXXX XXXX XXXX ) # XXXX XX/XX/year> -- {$980.00}",Credit reporting or other personal consumer reports,Incorrect information on your report,3,
7,23939358,07-07-2026,"I am a victim of Identity Theft. Card accounts were opened without my consent, authorization and/or acknowledgment. The accounts are Fraudulent and have place me in harms way with alleged owed amounts.",Credit card,Incorrect information on your report,2,Fraudulent card accounts are the primary complaint.
8,12908254,09-04-2025,"I recently reviewed a copy of my credit report and noticed I had fraudulent accounts on my report. Please remove these accounts from my report, they are hurting my ability to obtain credit.",Credit reporting or other personal consumer reports,Incorrect information on your report,2,Fraudulent accounts on report.
9,8631653,26-03-2024,I am writing to formally dispute an inquiry listed on my credit report. I have carefully reviewed my credit report and have determined that this inquiry is inaccurate.,Credit reporting or other personal consumer reports,Improper use of your report,3,Unauthorized inquiry.
10,15247890,12-08-2025,"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15. U. S. C. 1681c2 ) that you, the TransUnion credit reporting agencys block the information appearing on my consumer credit report that is the result of identity theft, and fraud within four business days of you receiving this complaint. This fraudulent, inaccurateand false information consist of personal credit card accounts, auto loans, personal loansand open end unsecured consumer accounts as follows : INQUIRIES : XXXX Date : XXXX ACCOUNTS : XXXXXXXX XXXX XXXXXXXX - Account Number : XXXX, Date Opened : XXXX, Balance : {$2800.00} XXXX XXXX XXXX XXXX Account Number : XXXX, Date Opened : XXXX, Balance : {$1600.00} XXXXXXXX XXXX XXXX XXXX Account Number : XXXX, Date Opened : XXXX, Balance : {$1600.00} XXXX XXXX - Account Number : XXXX, Date Opened : XXXX, Balance : {$2000.00} XXXX XXXX - Account Number : XXXX, Date Opened : XXXX, Balance : {$00.00} XXXX XXXXXXXX - Account Number : XXXX, Date Opened : XXXX, Balance : {$00.00} XXXX XXXX XXXX Account Number : XXXX, Date Opened : XXXX, Balance : {$00.00} XXXX - Account Number : XXXX, Date Opened : XXXX, Balance : {$00.00}",Credit reporting or other personal consumer reports,Incorrect information on your report,3,Identity-theft accounts and inquiries.
