relabel_no,complaint_id,original_case_no,pass1_product,pass1_issue
1,17303911,24,"Money transfer, virtual currency, or money service",Fraud or scam
2,14186887,39,Credit reporting or other personal consumer reports,Incorrect information on your report
3,9743158,23,Mortgage,Incorrect information on your report
4,11745965,47,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem
5,9157413,98,Student loan,Getting a loan
6,16878951,51,Credit reporting or other personal consumer reports,Incorrect information on your report
7,23939358,32,Credit reporting or other personal consumer reports,Incorrect information on your report
8,12908254,43,Credit reporting or other personal consumer reports,Incorrect information on your report
9,8631653,40,Credit reporting or other personal consumer reports,Improper use of your report
10,15247890,4,Credit reporting or other personal consumer reports,Incorrect information on your report
11,8984279,35,Credit reporting or other personal consumer reports,Improper use of your report
12,16486077,70,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem
13,12007845,19,Debt collection,False statements or representation
14,10434036,97,Credit reporting or other personal consumer reports,Incorrect information on your report
15,11867635,26,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem
16,15305621,83,Credit reporting or other personal consumer reports,Incorrect information on your report
17,7847537,50,Credit reporting or other personal consumer reports,Improper use of your report
18,14330956,15,Credit reporting or other personal consumer reports,Unable to get your credit report or credit score
19,8086161,93,"Money transfer, virtual currency, or money service",Fraud or scam
20,9819802,75,Credit reporting or other personal consumer reports,Improper use of your report
21,11525923,61,Credit reporting or other personal consumer reports,Improper use of your report
22,11300289,89,Credit reporting or other personal consumer reports,Incorrect information on your report
23,10293042,67,Credit reporting or other personal consumer reports,Incorrect information on your report
24,9952522,2,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem
25,13703831,20,Credit reporting or other personal consumer reports,Incorrect information on your report
