case_no,complaint_id,official_product,my_product,official_issue,my_issue,product_match,issue_match,notes,narrative
2,9952522,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,"Two grievances present: bureaus not responding to repeated dispute letters, and information being falsely reported. Chose the investigation issue because the non-response is what prompted the complaint. Incorrect information is defensible if you weight the stated reason for filing.",I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.
3,8476723,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"I am writing to formally lodge a complaint regarding inaccurate personal information on my credit report. Upon reviewing my credit report, I discovered personal information that does not belong to me, including [ XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ]. As this erroneous information may adversely impact my creditworthiness and financial standing, I urgently request that you invest"
6,10812654,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,Repeated removal letters and failure to resolve the dispute are the primary grievance.,"Equifax is reporting XXXX XXXX XXXX and XXXX XXXX on my credit file. These accounts and the associated balances do not belong to me. I have sent removal letters and multiple documents many times over the course of a year. This situation is unacceptable, and they are violating several rules and regulations regarding the dispute process for accounts like these. Again, these accounts and balances do "
8,15738333,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Problem with a company's investigation into an existing problem,True,False,,"I have submitted multiple formal dispute letters to TRANSUNION LLC Consumer Dispute Center regarding inaccurate and unverifiable information on my credit report ( see attached copies ). Despite clear legal notice, TRANSUNION LLC Consumer Dispute Center continues to willfully report inaccurate data in violation of FCRA 15 U.S.C. 1681e ( b ), 1681i, and FDCPA 1692e and 1692f. I have exhausted all at"
10,8753112,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,,"I am writing to follow up on my previous dispute regarding the fraudulent account appearing on my credit report. On [ date of initial dispute letter ], I sent a formal dispute letter informing you of the inaccurate and unauthorized account listed on my credit report. Despite my efforts, the erroneous information has not been rectified, and I believe there may be violations of the Fair Credit Repor"
11,13437471,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,"Unauthorized inquiries are mentioned, but most of the complaint centers on inaccurate charged-off accounts.",I recently looked at my credit profile and noticed a number of unauthorized inquiries and charged off accounts of on my profile. Those inquiries and charged off accounts consist of XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX Payments XXXX XXXXCharge Off XXXX XXXX XXXX XXXX XXXXCharge off Transunion XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX-Late Payments XXXX XXXX XXXXCharge Off XXXX XXXX- XXXXCharge Off Eq
12,10024363,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Complaint is based on lack of permissible purpose/consent under FCRA §1681b.,Please take a look at the attached letters and ID docs for verification that it is I XXXX XXXX filing this complaint. The stuff on my credit report is wrong and Under 15 U.S. Code 1681b Permissible purposes of consumer reports I never gave any written consent to report anything on my consumer reports no consent is fraud.
13,12327779,Credit reporting or other personal consumer reports,Mortgage,Incorrect information on your report,Incorrect information on your report,False,True,,"I am filing this complaint against Mr. Cooper for inaccurate and misleading credit reporting related to my mortgage loan modification. I was approved for a trial period plan ( TPP ) and subsequent loan modification under the XXXX XXXX Program. I made all required trial period payments on time. However, Mr. Cooper incorrectly reported my payments as late during the trial period, even though I was f"
17,14988267,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,,"You have reported inaccurate and unauthorized accounts on my credit report, which is a violation of the Fair Credit Reporting Act ( 15 U.S. Code 1681i ) requiring a proper reinvestigation of disputed items, and 1681e ( b ), which mandates maximum possible accuracy. These false entries are damaging and unjust, especially since Ive never opened or authorized these accounts. If you fail to investigat"
19,12007845,Debt collection,Debt collection,Took or threatened to take negative or legal action,False statements or representation,True,False,Complaint is that collector is not properly licensed to collect.,This company is violating my consumer rights! Not properly licensed to collect.
23,9743158,Credit reporting or other personal consumer reports,Mortgage,Problem with a company's investigation into an existing problem,Incorrect information on your report,False,False,Mortgage servicer allegedly reported late payments incorrectly.,"XXXX XXXX XXXX reported the late payment on XXXX, XXXX, XX/XX/year> to all XXXX credit bureaus for all three loans ( Loan # XXXX, XXXX and XXXX ), while those three months were the review period of mortgage assistance application."
25,13934964,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,General complaint about inaccurate credit reporting.,I am deeply disappointed by the violation of my consumer rights through the provision of inaccurate information. Fair treatment and transparency are crucial to me as a consumer. Please provide detailed information on the shortcomings regarding accuracy and compliance. Certification holds no value to me. I prioritize factual and truthful data concerning your company and my credit profile. It is con
27,14982390,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Improper use of your report,True,False,Complaint relies on unauthorized furnishing of credit information/privacy provisions rather than accuracy.,In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c.
28,11726214,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",Other transaction problem,Other service problem,True,False,Complaint centers on Zelle's dispute handling rather than a specific transaction.,"XXXX XXXX I am to formally express my concerns regarding Zelles handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tra"
29,16709254,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,,"Background and Context This is a formal second-round dispute and complaint regarding the XXXX XXXX account ( Ref. XXXX ), which continues to be reported inaccurately despite prior disputes. The account was never authorized, verified, or validated under the Fair Debt Collection Practices Act ( FDCPA ), yet all three credit bureaus continue to list it with false, re-aged, and contradictory data. The"
30,9076489,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Unauthorized inquiries are a permissible-purpose issue.,"there are a series of unauthorized Inquiries on all XXXX of the credit reporting companies. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX, I want these inquiries deleted."
32,23939358,Credit card,Credit reporting or other personal consumer reports,Getting a credit card,Incorrect information on your report,False,False,,"I am a victim of Identity Theft. Card accounts were opened without my consent, authorization and/or acknowledgment. The accounts are Fraudulent and have place me in harms way with alleged owed amounts."
34,8690186,Credit card,Credit reporting or other personal consumer reports,"Advertising and marketing, including promotional offers",Incorrect information on your report,False,False,,"I assert that adding inaccurate late payment remarks to my accounts violates 15 USC 1666. All payments on these accounts have been made on time, so any incorrect reporting is unfair and illegal."
36,13924210,Debt collection,Debt collection,Attempts to collect debt not owed,False statements or representation,True,False,Fake or misleading legal/debt notice is the core allegation.,"NOTICE OF LEGAL PROCEEDINGS Case Number : XXXX Outstanding Amount : {$1200.00} Lender : XXXX XXXX XXXX Time Left : 24 hours. Contact : XXXX Dear Debtor 's We are writing to address a matter of significant concern regarding an unresolved outstanding debt in the amount of {$1200.00}, associated with your account under Case Number : XXXX. This communication marks your final opportunity to resolve thi"
38,11575913,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,Negative credit reporting allegedly violates SCRA protections.,"I am writing to formally dispute all negative remarks on my credit report due to the protections afforded under the Servicemembers Civil Relief Act ( SCRA ). As an active duty military service member, I am entitled to specific protections under this federal law. The SCRA prohibits creditors from making negative reports to credit bureaus regarding obligations that are subject to relief under this p"
40,8631653,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Disputes an unauthorized/inaccurate inquiry rather than account data.,I am writing to formally dispute an inquiry listed on my credit report. I have carefully reviewed my credit report and have determined that this inquiry is inaccurate.
47,11745965,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,Focus is repeated refusal to delete disputed accounts after proof was provided.,Experian and XXXX refuses to delete the following accounts. XXXX XXXX XXXX charge off XXXXXXXX XXXX Its to my under that CFPB has sued these two companies for this same reason they are doing to me. I have provided proof that these accounts do not belong to me and they refuse to delete. These accounts above on my credit report. It Is hurting my financial well being and my life.
48,21742736,Credit card,Credit card,Problem with a purchase shown on your statement,Trouble using your card,True,False,"Main issue is replacement card not being delivered promptly, preventing use.","This complaint is about Bank of Americas not sending my new credit card overnight -- - as I had asked. That card is used for Medical, doctor appointments, prescriptions, food, and gas. Therefore, I cant go without the card, if they send it snail mail. BACKGROUND On XX/XX/XXXX, I noticed two charges that did not belong on my Bank of America Master Card statement. I called Bank of America on XX/XX/X"
49,15255789,Credit card,"Money transfer, virtual currency, or money service","Other features, terms, or problems",Problem with customer service,False,False,Holds on funds and poor handling of disputes/customer support.,"I use this company as third party credit card pocessing service. they constantly put holds for no reason on our funds, they do not collect documents properly for charge backs or disputes and they have terrible customer services based out of he XXXX or XXXX and not updated with XXXX LAWS or policies. they have a charge back with us which we sent them documents and they never submitted our documents"
50,7847537,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Unauthorized credit inquiries.,"I just looked over a copy of my credit report. It said that the credit inquiries mentioned below were the source of the credit inquiry. But I did not authorize these investigations. As these queries are negatively impacting my ability to obtain credit and apply for loans, kindly have them erased from my credit report. Additionally, send me any supporting documents you may have for this request. XX"
51,16878951,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,,"The creditor or furnisher is reporting a negative account with inaccurate or incomplete information. I have reviewed my credit report and found errors in the balance, payment history, and/or account status. Under the Fair Credit Reporting Act ( FCRA ) Section 623, furnishers must report accurate and verifiable information. I have requested verification and supporting documentation from the credito"
52,9994533,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Complaint explicitly cites lack of permissible purpose under FCRA §1681b.,Please take a look at the attached letters and ID docs for verification that it is I XXXX XXXX XXXX filing this complaint. The stuff on my credit report is wrong and Under 15 U.S. Code 1681b Permissible purposes of consumer reports I never gave any written consent to report anything on my consumer reports no consent is fraud.
53,14631841,Credit card,Credit reporting or other personal consumer reports,Problem with a purchase shown on your statement,Incorrect information on your report,False,False,,"I was in XXXX XXXX from XXXX XXXX, and made only ONE transaction with my Barclay 's card during that time, and that was for a taxi ride from downtown to my hotel, which should have been in the XXXX XXXXXXXX {$7.00} range. When I returned home, a transaction for {$520.00} appeared on my statement for a XXXX XXXX XXXX XXXX. At no time during my visit did I purchase anything from a clothing store, as"
54,8683869,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Problem with a company's investigation into an existing problem,True,False,Main complaint is failure to properly investigate/respond to disputes.,multiple unrecognized and/or duplicated inquires to my credit file
56,9482363,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Unauthorized inquiry/permissible-purpose complaint.,"I recently reviewed a copy of my credit report and noticed I had fraudulent accounts on my report. Please remove these accounts from my report, they are hurting my ability to obtain credit."
58,17212981,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,,"This complaint is valid and requires urgent action. My credit report features inaccuracies that do not uphold the highest accuracy standards. These mistakes are inflicting profound, persistent damage on my life. I require a comprehensive investigation and the immediate correction or deletion of all errors. Addressing this is imperative, not optional."
59,11617390,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"I have filed multiple disputes with XXXX, XXXX, and Experian regarding incorrect information on my credit report. Despite these efforts, the errors remain unresolved, and no sufficient action has been taken by the credit bureaus. Dispute Reasons & Violations : Failure to Verify Information ( 15 USC 1681i ( a ) ( 1 ) ) : The credit bureaus have not adequately verified the disputed information withi"
60,8235710,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,,"Violations of Fair Credit Reporting Act and Privacy Laws I am making this complaint to the CFPB because you are the government entity that is supposed to make these institutions follow the law. well they are not following the law by any means. I ask that you do the job that you were created to do and protect us consumers from these Institutions. and make them answer for their indiscretions. I, XXX"
61,11525923,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Complaint cites FCRA permissible-purpose/privacy provisions rather than data accuracy.,"I am writing to formally request the removal of an unauthorized hard inquiry from my credit report. After carefully reviewing my credit report, I noticed a hard inquiry that I did not authorize. I am concerned that this inquiry XXXX have been made in error or as a result of potential fraudulent activity. As per the Fair Credit Reporting Act ( FCRA ), I am entitled to dispute inaccurate or unauthor"
63,12244051,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Problem with a company's investigation into an existing problem,True,False,,I AM TRYING TO DISPUTE HARD INQUIRIES THAT I DON'T RECOGNIZE.
64,21050248,"Payday loan, title loan, personal loan, or advance loan",Credit reporting or other personal consumer reports,Problem when making payments,Incorrect information on your report,False,False,,"I applied and received a card for a XXXX purchase on XXXX. I chose payments every XXXX weeks for XXXX weeks with no interest. The first payment of {$81.00} was to be due immediately and I agreed to that. I made the Affirm card for {$320.00} so that it was more than the purchase amount. When I processed the payment, XXXX informed me that the card ( Affirm card ) declined. But I was charged {$81.00}"
65,12100375,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"I am filing a complaint against Equifax for failing to properly investigate my disputes regarding inaccuracies in my credit report. Despite my submissions, Equifax, Transunion & Experian consistently responds within 24 hours stating the account is accurate, without providing any evidence of a thorough investigation. This practice violates the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681i, wh"
66,10399080,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,Repeated disputes with no meaningful investigation are the primary issue.,My account with XXXX XXXX was never late! I have had exceptional payment history witH XXXX XXXX and all payments were placed on XXXX. This late payment that is reporting is a result on a systematic error on their end processing my payment. This was clearly a billing error made my the company and is not a reflection of my payment experience which violates USC Code 1681eb. This error has caused seve
68,12002147,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Improper use of your report,True,False,Unauthorized inquiry/privacy complaint.,"This has been gone going on for over a year, I have reached out 2 attorneys both stating the same thing I entered into a repayment status in XXXX. So it's been 11 years, but but then it disappeared in XXXX around the pandemic, which would explain why it did cuz. In all reality between my grant and the loans, it would be paid off with what I attended for which would be between XXXX to XX/XX/XXXX. W"
69,9757032,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,,"These can be combined On my credit report, you have shown incorrect accounts that should not be there at all. This is not only unjust to me, but it's also concerning, because I've never done or made any of the things you accuse me of. If you don't look into these accounts, I'll take legal action against you."
