k,coverage,threshold,accuracy
1,0.012,0.96,1.0
2,0.0241,0.93,1.0
3,0.0361,0.9,1.0
4,0.0482,0.9,1.0
5,0.0602,0.88,0.8
6,0.0723,0.88,0.6667
7,0.0843,0.88,0.7143
8,0.0964,0.87,0.75
9,0.1084,0.87,0.7778
10,0.1205,0.87,0.8
11,0.1325,0.87,0.8182
12,0.1446,0.85,0.75
13,0.1566,0.85,0.7692
14,0.1687,0.85,0.7857
15,0.1807,0.85,0.7333
16,0.1928,0.85,0.75
17,0.2048,0.85,0.7647
18,0.2169,0.78,0.7222
19,0.2289,0.78,0.6842
20,0.241,0.78,0.7
21,0.253,0.75,0.7143
22,0.2651,0.75,0.7273
23,0.2771,0.75,0.6957
24,0.2892,0.75,0.7083
25,0.3012,0.75,0.72
26,0.3133,0.75,0.7308
27,0.3253,0.75,0.7407
28,0.3373,0.72,0.75
29,0.3494,0.72,0.7586
30,0.3614,0.72,0.7667
31,0.3735,0.72,0.7742
32,0.3855,0.72,0.7812
33,0.3976,0.72,0.7576
34,0.4096,0.72,0.7647
35,0.4217,0.72,0.7714
36,0.4337,0.72,0.75
37,0.4458,0.72,0.7568
38,0.4578,0.72,0.7368
39,0.4699,0.72,0.7436
40,0.4819,0.7,0.725
41,0.494,0.7,0.7073
42,0.506,0.68,0.7143
43,0.5181,0.68,0.7209
44,0.5301,0.68,0.7273
45,0.5422,0.65,0.7333
46,0.5542,0.65,0.7174
47,0.5663,0.65,0.7021
48,0.5783,0.62,0.6875
49,0.5904,0.62,0.6735
50,0.6024,0.62,0.68
51,0.6145,0.62,0.6667
52,0.6265,0.62,0.6538
53,0.6386,0.62,0.6604
54,0.6506,0.62,0.6667
55,0.6627,0.62,0.6727
56,0.6747,0.62,0.6786
57,0.6867,0.62,0.6842
58,0.6988,0.6,0.6724
59,0.7108,0.55,0.678
60,0.7229,0.55,0.6833
61,0.7349,0.55,0.6885
62,0.747,0.35,0.6935
