case_no,grievance,words,citations_pass,invalid_citations,numbers_pass,fabricated_numbers,elements_pass,missing_elements,overcommit_pass,overcommit_violations,all_pass
1,PERMISSIBLE-PURPOSE,186,True,,True,,False,timeline,True,,False
2,INVESTIGATION,174,True,,True,,False,restatement;timeline,True,,False
3,ACCURACY,172,True,,True,,True,,True,,True
4,ACCURACY,171,True,,True,,False,restatement;timeline,True,,False
5,ACCURACY,171,True,,True,,True,,True,,True
6,INVESTIGATION,181,True,,True,,False,timeline,True,,False
7,ACCURACY,183,True,,True,,False,restatement,True,,False
8,INVESTIGATION,172,True,,True,,False,restatement,True,,False
9,ACCURACY,192,True,,True,,True,,True,,True
10,INVESTIGATION,173,True,,True,,False,timeline,True,,False
11,ACCURACY,178,True,,True,,True,,True,,True
12,PERMISSIBLE-PURPOSE,186,True,,True,,False,timeline,True,,False
13,ACCURACY,179,True,,True,,False,timeline,True,,False
14,ACCURACY,169,True,,True,,False,restatement,True,,False
17,ACCURACY,175,True,,True,,False,restatement,True,,False
18,ACCURACY,180,True,,True,,False,restatement;timeline,True,,False
20,ACCURACY,183,True,,True,,False,restatement;timeline,True,,False
21,INVESTIGATION,181,True,,True,,False,timeline,True,,False
22,ACCURACY,173,True,,True,,True,,True,,True
23,ACCURACY,177,True,,True,,True,,True,,True
